order_date,product_code,product_name_kor,product_name,source_image_url,orders,buyers,quantity,revenue,image_url,image_source
2024-04-16,C52WE9484010,[공식몰 단독]남성 루프 트레일 바람막이 방풍 자켓,Loop Trail™ II Windbreaker,,2,2,2,230890,assets/product_images/C52WE9484010.jpg,styleship_cdn_pattern+downloaded
2024-04-16,C55YU6327452,공용 호쏜 레인 로우 방수 스니커즈,HAWTHORNE™ RAIN LO,,2,2,2,228700,assets/product_images/C55YU6327452.jpg,styleship_cdn_pattern+downloaded
2024-04-16,C55YM8908010,남성 이스케이프 쓰라이브 샌들,THRIVE™ REVIVE SHANDAL,,2,2,2,202100,assets/product_images/C55YM8908010.jpg,styleship_cdn_pattern+downloaded
2024-04-16,C55YM0199105,남성 이스케이프 쓰라이브 울트라 아웃드라이 보아2,ESCAPE™ THRIVE ULTRA™ OUTDRY™ BOA II,,1,1,1,188600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C55YM0199105.jpg,styleship_cdn_pattern
2024-04-16,C55BM0378010,남성 코노스 TRS 아웃드라이,KONOS™ TRS OUTDRY™,,1,1,1,169100,assets/product_images/C55BM0378010.jpg,styleship_cdn_pattern+downloaded
2024-04-16,C52YL3433191,여성 라라미 파크™ 자켓,W's Laramie Park™ Jacket,,1,1,1,169000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52YL3433191.jpg,styleship_cdn_pattern
2024-04-16,C52YM3427010,남성 뮬렛 림™ OFZ ICE+ 자켓,Ms Mullet Rim™ OFZ ICE+ Jacket,,1,1,1,169000,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C52YM3427010.jpg,styleship_cdn_pattern
2024-04-16,C55BL0378100,여성 코노스 TRS 아웃드라이,KONOS™ TRS OUTDRY™,,1,1,1,163600,https://assetscdn49.styleship.com/assets/columbia/data/ProductImages/a/4/C55BL0378100.jpg,styleship_cdn_pattern
2024-04-16,C51WE3507010,남성 앰플리 드라이™ 방수 2.5L 자켓,Ampli-Dry™ II Shell,,1,1,1,154770,assets/product_images/C51WE3507010.jpg,styleship_cdn_pattern+downloaded
2024-04-16,C51WR2496010,여성 앰플리 드라이™ 방수 2.5L 자켓,OmniTech™ AmpliDry™ II Shell,,1,1,1,154490,assets/product_images/C51WR2496010.jpg,styleship_cdn_pattern+downloaded
