member_grade_label,category,orders,buyers,products,quantity,revenue,rank_in_grade
1,남성,42899,29224,1889,56129,4005647441,1
1,여성,7233,5897,510,8150,837206165,2
1,미드/롱다운,469,446,8,480,151776988,3
1,등산화,1330,1232,67,1370,151145295,4
1,셋업,1658,1483,84,1900,140859876,5
1,라운드티,3015,2559,91,3637,139374190,6
1,긴바지,1900,1694,61,2016,137875460,7
1,하이킹,1035,997,18,1075,97957940,8
1,자켓/ 베스트,999,941,49,1090,89202325,9
1,UNKNOWN,921,897,35,991,78995595,10
2,남성,3054,691,1332,5028,463069168,1
2,여성,539,259,283,708,85398916,2
2,셋업,184,140,66,219,18188100,3
2,미드/롱다운,58,51,8,61,17784211,4
2,긴바지,191,125,43,217,14943180,5
2,라운드티,207,127,61,269,10943020,6
2,등산화,68,55,33,78,8896595,7
2,바람막이,65,57,18,89,8697482,8
2,UNKNOWN,66,56,22,93,7640870,9
2,자켓/ 베스트,65,60,29,70,6277845,10
3,남성,500,52,539,1001,86900114,1
3,여성,94,27,95,134,16322644,2
3,셋업,30,19,22,50,4605970,3
3,바람막이,10,8,7,47,4230344,4
3,긴바지,28,16,18,33,2264530,5
3,라운드티,34,18,31,48,1968140,6
3,등산화,15,11,9,16,1881250,7
3,인터체인지 (3 in 1),3,3,3,3,1411890,8
3,자켓/베스트,11,6,6,17,1124250,9
3,패딩/슬림다운,9,6,5,10,971430,10
4,남성,227,14,279,837,66545275,1
4,여성,24,7,29,33,3931690,2
4,셋업,21,8,24,40,3595050,3
4,긴바지,7,5,12,13,987420,4
4,패딩/슬림다운,4,3,3,5,679210,5
4,바람막이,5,2,2,5,577060,6
4,자켓/ 베스트,3,2,3,4,563290,7
4,인터체인지 (3 in 1),1,1,1,1,395000,8
4,미드/롱다운,1,1,1,1,327670,9
4,라운드티,5,3,7,7,318060,10
